FID,Longitude,Latitude,Mean_HF,Median_HF,MEAN_Annual_Temp,Therm_Cond__W_per_m_K,Z85_Med_HF_km,Z122_Med_HF_km,Z85_Mean_HF_km,Z122_Mean_HF_km,rechargeDepth,Descriptio,rechargeVolume,grid_area_m2,crustTypeFull,crustType,crustTypeMin1,crustScheme2,combined_cv,combined_cr,rechargeShort
2454,3.857,39,103.9899979,103.9899979,15.66666667,2.5,1.666826972,2.556335597,1.666826972,2.556335597,complex,complex_20-100_mm/a,low,49411636171,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2453,1.286,39,93.4100037,93.4100037,15.8,2.5,1.852050028,2.842307991,1.852050028,2.842307991,complex,complex_20-100_mm/a,low,49411616955,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2452,-1.286,39,89.1399994,104.5,13.6,2.5,1.708133971,2.593301435,2.002468041,3.040161564,complex,complex_<20_mm/a,low,49411616955,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2451,-3.857,39,68,68,13.3,2.5,2.636029412,3.996323529,2.636029412,3.996323529,shallow,shallow_<100_mm/a,low,49411636171,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust shallow,shallow low
2450,-6.429,39,53.6699982,53,14.8,2.5,3.311320755,5.056603774,3.269983341,4.993478833,shallow,shallow_<100_mm/a,low,49411905190,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust shallow,shallow low
2449,-9,39,91.5999985,79,15.25,2.5,2.207278481,3.378164557,1.903657236,2.91348258,complex,complex_100-300_mm/a,high,49411636171,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex high
2448,-27,39,110.9400024,110.9400024,15.5,2.5,1.566161855,2.399945865,1.566161855,2.399945865,complex,complex_20-100_mm/a,low,49411636171,B-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2447,-29.571,39,277.6199951,277.6199951,16,2.5,0.621352939,0.954542197,0.621352939,0.954542197,complex,complex_20-100_mm/a,low,49411616955,A0,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2446,-32.143,39,146.6699982,146.6699982,15,2.5,1.193154716,1.823822208,1.193154716,1.823822208,complex,complex_20-100_mm/a,low,49411636171,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2445,-73.286,39,44,44,11.5,2.5,4.176136364,6.278409091,4.176136364,6.278409091,major,major_100-300_mm/a,high,49411616955,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,major high
2444,-75.857,39,51.0699997,46,12,2.5,3.967391304,5.97826087,3.573526553,5.384766039,major,major_100-300_mm/a,high,49411770680,E-,Platform,Platform,Craton,Craton high,Craton major,major high
2443,-78.429,39,37,37,11.2,2.5,4.986486486,7.486486486,4.986486486,7.486486486,complex,complex_100-300_mm/a,high,49411636171,Q-,orogen,orogen,orogen,orogen,orogen complex,complex high
2442,-81,39,51.7299995,183.75,10,2.5,1.020408163,1.523809524,3.624589248,5.412719944,complex,complex_100-300_mm/a,high,49411616955,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton complex,complex high
2441,-83.571,39,56.7799988,51.4900017,10.85,2.5,3.600213515,5.396678789,3.264794011,4.893888797,complex,complex_100-300_mm/a,high,49411770680,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton complex,complex high
2440,-86.143,39,56.7799988,52.8300018,11,2.5,3.501798101,5.252697152,3.258189572,4.887284358,shallow,shallow_>=100_mm/a,high,49411636171,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton shallow,shallow high
2439,-88.714,39,55.4399986,53.5,11.55,2.5,3.432242991,5.161214953,3.312139333,4.980609794,complex,complex_100-300_mm/a,high,49411616955,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton complex,complex high
2438,-91.286,39,51,51,11.5,2.5,3.602941176,5.416666667,3.602941176,5.416666667,complex,complex_100-300_mm/a,high,49411616955,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton complex,complex high
2437,-93.857,39,57.2000008,59,11.65,2.5,3.108050847,4.675847458,3.205856599,4.822989443,shallow,shallow_>=100_mm/a,high,49411770680,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton shallow,shallow high
2436,-96.429,39,51.75,51,11.75,2.5,3.590686275,5.404411765,3.538647343,5.326086957,shallow,shallow_<100_mm/a,low,49411636171,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton shallow,shallow low
2435,-99,39,63,62.5,11.5,2.5,2.94,4.42,2.916666667,4.384920635,shallow,shallow_<100_mm/a,low,49411616955,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton shallow,shallow low
2434,-101.571,39,60.9799995,59.2900009,10.05,2.5,3.160313664,4.720441824,3.072728789,4.589619585,major,major_2-20_mm/a,low,49411770680,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton major,major low
2433,-104.143,39,88.1500015,83.5,8.15,2.5,2.300898204,3.408682635,2.179523502,3.228871187,complex,complex_<20_mm/a,low,49411636171,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2432,-106.714,39,109.0100021,104,0.823529412,2.5,2.023472851,2.912895928,1.93047585,2.779021839,shallow,shallow_<100_mm/a,low,49411616955,X-,Rift,Rift,Extended_Crust,Extended_Crust low,Extended_Crust shallow,shallow low
2431,-109.286,39,59.7400017,61,7.4,2.5,3.180327869,4.696721311,3.247405331,4.795781584,complex,complex_<20_mm/a,low,49411616955,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2430,-111.857,39,92.9300003,97.5,6.3,2.5,2.017948718,2.966666667,2.117184971,3.112557829,complex,complex_<20_mm/a,low,49411770680,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust complex,complex low
2429,-114.429,39,157.4799957,108,6.75,2.5,1.811342593,2.667824074,1.242221268,1.829597459,major,major_<2_mm/a,low,49411636171,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust major,major low
2428,-117,39,76.8099976,70,8.333333333,2.5,2.738095238,4.05952381,2.495334887,3.699605202,major,major_<2_mm/a,low,49411616955,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust major,major low
2427,-119.571,39,73.25,63.5,8.3,2.5,3.019685039,4.476377953,2.61774744,3.880546075,major,major_2-20_mm/a,low,49411770680,M-,orogen,orogen,Extended_Crust,Extended_Crust low,Extended_Crust major,major low
2426,-122.143,39,115.6999969,115.6999969,13.15,2.5,1.552506524,2.351987963,1.552506524,2.351987963,major,major_20-100_mm/a,low,49411636171,Q-,orogen,orogen,orogen,orogen,orogen major,major low
2425,-124.714,39,108.1999969,108.1999969,11.75,2.5,1.692467701,2.547366062,1.692467701,2.547366062,shallow,shallow_>=100_mm/a,high,49411616955,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
2424,141.25,37,45.2799988,35.5,10.66666667,2.5,5.234741784,7.840375587,4.104093159,6.146937737,shallow,shallow_>=100_mm/a,high,49367358851,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
2423,138.75,37,161.8399963,80.0999985,9.315789474,2.5,2.3621789,3.516985413,1.169120926,1.740673089,major,major_100-300_mm/a,high,49367358851,J-,Phanerozoic_and_arcs,Island_arc_or_forearc,arcs,arcs high,arcs,major high
2422,136.25,37,101.8600006,95,10.85714286,2.5,1.95112782,2.92481203,1.819724541,2.727833705,shallow,shallow_>=100_mm/a,high,49367358851,J-,Phanerozoic_and_arcs,Island_arc_or_forearc,arcs,arcs high,arcs,shallow high
2421,133.75,37,93.9800034,91.8499985,12,2.5,1.986935253,2.994012025,1.941902462,2.926154395,shallow,shallow_>=100_mm/a,high,49367358851,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow high
