x,similarity,locality,primer
0.076,0.599071207,FennoScandian Shield,v6
0.375,0.607649957,FennoScandian Shield,v6
0.136,0.616229046,FennoScandian Shield,v6
0.083,0.293847332,FennoScandian Shield,v6
0.27,0.251424231,FennoScandian Shield,v6
0.008,0.66310953,FennoScandian Shield,v6
0.018,0.600371172,FennoScandian Shield,v6
0.095,0.576966564,FennoScandian Shield,v6
8437.426088,0.022878425,different regions,different primers
8437.426088,0.045242537,different regions,different primers
8437.426088,0.040291262,different regions,different primers
8437.426088,0.041816871,different regions,different primers
8437.426088,0.052803738,different regions,different primers
8437.426088,0.042521994,different regions,different primers
8437.426088,0.070181445,different regions,different primers
8437.426088,0.073270905,different regions,different primers
8437.426088,0.03743449,different regions,different primers
7168.368635,0.00461361,different regions,different primers
7580.591277,0.041779707,different regions,different primers
7580.591277,0.044991966,different regions,different primers
7580.591277,0.037694619,different regions,different primers
7580.591277,0.03909465,different regions,different primers
7580.591277,0.021648626,different regions,different primers
7580.591277,0.018302829,different regions,different primers
9929.14603,0.51160444,different regions,v6
9929.14603,0.509686139,different regions,v6
9731.079829,0.570071259,different regions,v6
9934.233625,0.564267352,different regions,v6
9900.272406,0.583252862,different regions,v6
9554.223656,0.627647715,different regions,v6
9730.357717,0.627506266,different regions,v6
1977.090527,0.006246451,different regions,different primers
1977.090527,0.004001143,different regions,different primers
1977.090527,0.006266021,different regions,different primers
1977.246899,0.007382169,different regions,different primers
1977.246899,0.007945516,different regions,different primers
1977.246899,0.009029345,different regions,different primers
1977.246899,0.006812376,different regions,different primers
1977.090527,0.014052839,different regions,different primers
1977.090527,0.011827654,different regions,different primers
1977.090527,0.009626274,different regions,different primers
1977.246899,0.01346046,different regions,different primers
1977.246899,0.011820996,different regions,different primers
1977.246899,0.016722408,different regions,different primers
1977.246899,0.012943163,different regions,different primers
0.024,0.05010661,FennoScandian Shield,different primers
0.096,0.031911967,FennoScandian Shield,different primers
0.051,0.583078011,FennoScandian Shield,v6
0.225,0.544518785,FennoScandian Shield,v6
0.163,0.587030717,FennoScandian Shield,v6
0.076,0.599071207,FennoScandian Shield,v6
0.451,0.579562942,FennoScandian Shield,v6
0.212,0.587659776,FennoScandian Shield,v6
0.007,0.287752355,FennoScandian Shield,v6
